"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-20",,,"0.12","0.0","0.0","82","63","66",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-21",,,"0.29","0.0","0.0","81","66","69",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-22",,,"0.00","0.0","0.0","79","63","67",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-23",,,"0.00","0.0","0.0","80","59","67",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-24",,,"0.02","0.0","0.0","85","63","66",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-25",,,"2.22","0.0","0.0","77","63","65",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-26",,,"0.00","0.0","0.0","85","65","72",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-27",,,"0.09","0.0","0.0","79","56","61",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-28",,,"0.00","0.0","0.0","77","53","61",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-29",,,"0.05","0.0","0.0","69","54","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-06-30",,,"0.00","0.0","0.0","75","54","62",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-01",,,"0.00","0.0","0.0","80","61","66",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-02",,,"0.00","0.0","0.0","82","65","70",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-03",,,"2.02","0.0","0.0","85","63","63",,,"    1",,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-04",,,"0.00","0.0","0.0","69","6","63",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-05",,,"0.00","0.0","0.0","79","63","65",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-06",,,"0.00","0.0","0.0","84","64","68",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-07",,,"0.00","0.0","0.0","82","61","64",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-08",,,"0.00","0.0","0.0","75","60","65",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-09",,,"0.00","0.0","0.0","84","65","74",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-10",,,"2.14","0.0","0.0","87","68","68",,,,"    1",,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-11",,,"1.01","0.0","0.0","80","60","66",,,"    1",,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-12",,,"0.00","0.0","0.0","76","62","66",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-13",,,"0.00","0.0","0.0","79","61","69",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-14",,,"0.00","0.0","0.0","87","65","71",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-15",,,"0.00","0.0","0.0","85","61","67",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-16",,,"0.00","0.0","0.0","80","59","65",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-17",,,"0.00","0.0","0.0","83","65","71",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-18",,,"0.00","0.0","0.0","85","58","61",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-19",,,"0.02","0.0","0.0","71","58","62",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-20",,,"0.00","0.0","0.0","72","55","62",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-21",,,"0.09","0.0","0.0","76","55","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-22",,,"0.00","0.0","0.0","75","54","60",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-23",,,"0.00","0.0","0.0","71","50","56",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-24",,,"0.00","0.0","0.0","73","49","58",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-25",,,"0.00","0.0","0.0","78","57","63",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-26",,,"0.00","0.0","0.0","82","61","67",,,,,,,,
"USC00115961","MUNDELEIN 4 WSW, IL US","2000-07-27",,,"0.00","0.0","0.0","84","67","71",,,,,,,,
