,img_date,img_path,short_term_span,short_term,long_term,nn_short_term_span,nn_short_term,nn_long_term,models agree
134,2021-11-14 08:58:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0858.png,,,,,,,
135,2021-11-14 09:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_0959.png,,,,,,,
136,2021-11-14 10:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1059.png,,,,,,,
137,2021-11-14 12:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1201.png,,,,,,,
138,2021-11-14 13:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1301.png,,,,,,,
139,2021-11-14 14:02:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1402.png,,,,,,,
140,2021-11-14 15:03:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1503.png,,,,,,,
141,2021-11-14 16:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1604.png,,,,,,,
142,2021-11-14 17:05:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1705.png,,,,,,,
143,2021-11-14 18:06:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1806.png,,,,,,,
144,2021-11-14 19:07:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-14-2021_1907.png,,,,,,,
145,2021-11-15 17:34:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_1734.png,,,,,,,
146,2021-11-15 18:35:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_1835.png,,,,,,,
147,2021-11-15 19:36:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_1936.png,,,,,,,
148,2021-11-15 20:37:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_2037.png,,,,,,,
149,2021-11-15 21:38:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_2138.png,,,,,,,
150,2021-11-15 22:39:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_2239.png,,,,,,,
151,2021-11-15 23:40:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-15-2021_2340.png,,,,,,,
152,2021-11-16 00:41:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0041.png,,,,,,,
153,2021-11-16 01:42:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0142.png,,,,,,,
154,2021-11-16 02:43:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0243.png,,,,,,,
155,2021-11-16 03:44:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0344.png,,,,,,,
156,2021-11-16 04:45:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0445.png,,,,,,,
157,2021-11-16 05:46:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0546.png,,,,,,,
158,2021-11-16 06:47:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0647.png,,,,,,,
159,2021-11-16 07:48:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0748.png,,,,,,,
160,2021-11-16 08:49:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0849.png,,,,,,,
161,2021-11-16 09:49:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_0949.png,,,,,,,
162,2021-11-16 10:50:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1050.png,,,,,,,
163,2021-11-16 11:51:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1151.png,,,,,,,
164,2021-11-16 12:52:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1252.png,,,,,,,
165,2021-11-16 13:53:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1353.png,,,,,,,
166,2021-11-16 14:54:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1454.png,,,,,,,
167,2021-11-16 15:55:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1555.png,,,,,,,
168,2021-11-16 16:56:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1656.png,,,,,,,
169,2021-11-16 17:57:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1757.png,,,,,,,
170,2021-11-16 18:58:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1858.png,,,,,,,
171,2021-11-16 19:59:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_1959.png,,,,,,,
172,2021-11-16 21:00:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_2100.png,,,,,,,
173,2021-11-16 22:01:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_2201.png,,,,,,,
174,2021-11-16 23:02:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-16-2021_2302.png,,,,,,,
175,2021-11-17 00:03:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0003.png,,,,,,,
176,2021-11-17 01:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0104.png,,,,,,,
177,2021-11-17 02:04:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0204.png,,,,,,,
178,2021-11-17 03:05:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0305.png,,,,,,,
179,2021-11-17 04:06:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0406.png,,,,,,,
180,2021-11-17 05:07:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0507.png,,,,,,,
181,2021-11-17 06:08:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0608.png,,,,,,,
182,2021-11-17 07:09:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0709.png,,,,,,,
183,2021-11-17 08:10:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0810.png,,,,,,,
184,2021-11-17 09:11:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_0911.png,,,,,,,
185,2021-11-17 10:12:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1012.png,,,,,,,
186,2021-11-17 11:13:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1113.png,,,,,,,
187,2021-11-17 12:14:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1214.png,,,,,,,
188,2021-11-17 13:15:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1315.png,,,,,,,
189,2021-11-17 14:16:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1416.png,,,,,,,
190,2021-11-17 15:17:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1517.png,,,,,,,
191,2021-11-17 16:17:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1617.png,,,,,,,
192,2021-11-17 17:19:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1719.png,,,,,,,
193,2021-11-17 18:20:00,/Volumes/wellington/projects/radon_monitor/data/hourly_tests/tests_11-17-2021_1820.png,,,,,,,
